model,train_MAE_TZS,train_RMSE_TZS,train_R2,holdout_MAE_TZS,holdout_RMSE_TZS,holdout_R2,cv_MAE_TZS_mean,cv_MAE_TZS_std,cv_RMSE_TZS_mean,cv_RMSE_TZS_std,cv_R2_mean,cv_R2_std,feature_count,nonzero_coef,detail,cv_note,submission_file,website_score
OLS,4818516.535516989,10134521.30315593,0.3096028379535255,4743845.441629104,10357468.09749786,0.2942689621174953,5011711.310897563,226986.3158402239,10331582.008334735,423612.19508687936,0.28072333652152837,0.032424982527312504,151,151.0,closed_form=normal_equations; solver=part1_ols_fit; target=log1p,"5-fold CV tren dev_train, target log1p, metric TZS",/home/phuckhang/MyWorkspace/AppliedMath/DataFitting/part2/outputs/submissions/submission_ols.csv,
OLS_Selected,4986413.382976181,10356377.569065463,0.2790448168372579,4883860.832974287,10651422.484902265,0.25364193207363095,5053593.385370862,234592.25372684322,10446976.605494978,406776.041830794,0.26390866852336836,0.043431995932392685,19,19.0,p_threshold=0.05; selected=18/150,"5-fold CV, moi fold chon bien bang p-value tren train fold",/home/phuckhang/MyWorkspace/AppliedMath/DataFitting/part2/outputs/submissions/submission_ols_selected.csv,
Ridge,4857085.876449221,10134858.005613025,0.309556962618046,4749367.368471079,10366870.49122007,0.29298707104880206,4950370.982902335,199749.65708092693,10232251.715092827,402681.9829107066,0.29425312210844823,0.034522952589516695,151,151.0,alpha=10; target=log1p; intercept_not_penalized,"nested 5-fold outer / 3-fold inner; alpha grid=[0.1, 1.0, 10.0, 100.0, 1000.0, 10000.0]; alpha retuned per outer fold",/home/phuckhang/MyWorkspace/AppliedMath/DataFitting/part2/outputs/submissions/submission_ridge.csv,
Lasso,4894160.471085508,10182736.72621436,0.3030180226867787,4786367.231239347,10462572.382005757,0.2798732219573741,4945141.676608516,183357.23422360187,10236355.761301192,364626.4468624204,0.29341946548207887,0.035936995456786906,151,49.0,alpha=0.00316227766017; target=log1p; manual_cv=3-fold; solver=scratch_coordinate_descent,nested 5-fold outer / 3-fold inner; hyperparams retuned per outer fold,/home/phuckhang/MyWorkspace/AppliedMath/DataFitting/part2/outputs/submissions/submission_lasso.csv,
ElasticNet,4872091.356235068,10155229.14141569,0.30677858242672007,4761273.109900846,10403906.294357946,0.28792641856764967,4943239.918061541,188884.46608877956,10230899.590648104,377419.90559510735,0.29426493894681255,0.035371073526736505,151,77.0,alpha=0.00215443469003; l1_ratio=0.5; target=log1p; manual_cv=3-fold; solver=scratch_coordinate_descent,nested 5-fold outer / 3-fold inner; hyperparams retuned per outer fold,/home/phuckhang/MyWorkspace/AppliedMath/DataFitting/part2/outputs/submissions/submission_elasticnet.csv,
Polynomial2_ElasticNet,4875232.169281969,10148673.9123777,0.30767324633787285,4764671.034181839,10404751.673723277,0.2878106934251454,4963231.058198417,187262.80361740338,10256219.334570494,383042.3284253512,0.29076892641928714,0.03639819491464255,161,81.0,degree=2; alpha=0.00251188643151; l1_ratio=0.5; target=log1p; manual_cv=3-fold; solver=scratch_coordinate_descent,nested 5-fold outer / 3-fold inner; poly expansion + hyperparams retuned per outer fold,/home/phuckhang/MyWorkspace/AppliedMath/DataFitting/part2/outputs/submissions/submission_poly2_elasticnet.csv,
KernelRidge_RBF,4855426.824534126,10138215.412355607,0.30909943631236547,4943734.356906798,10667977.295322191,0.2513200979229979,4692189.172984104,367802.0604122253,9001251.518358776,522844.1661257655,0.2955199137923056,0.0802769461218475,150,1200.0,alpha=0.1; gamma=0.01; fit_rows=1200; target=log1p,3-fold CV tren mau con 750 rows; fit cuoi tren 1200 rows; alpha=0.1; gamma=0.01,/home/phuckhang/MyWorkspace/AppliedMath/DataFitting/part2/outputs/submissions/submission_kernel_ridge_rbf.csv,
Ensemble_Mean,4837894.819125593,10101360.322617618,0.31411351788577513,4738269.497807452,10391350.997154083,0.2896440236051543,,,,,,,5,,"mean_of=Ridge,Lasso,ElasticNet,Polynomial2_ElasticNet,KernelRidge_RBF",Ensemble cho score chinh thuc bang website submission.,/home/phuckhang/MyWorkspace/AppliedMath/DataFitting/part2/outputs/submissions/submission_ensemble_mean.csv,
