Feature,OLS_Coef,Ridge_Coef,Lasso_Coef,OLS_AbsCoef,Ridge_AbsCoef,Lasso_AbsCoef
total_female,1250697.3823219612,1272826.6845649972,1250182.783364145,1250697.3823219612,1272826.6845649972,1250182.783364145
country_KUWAIT,1226961.0211693347,28183.343554996507,908925.0568469896,1226961.0211693347,28183.343554996507,908925.0568469896
package_food_Yes,1200140.0830338516,1154794.7832604852,431209.9871376841,1200140.0830338516,1154794.7832604852,431209.9871376841
country_SUDAN,-1177188.048328754,-40812.043403349846,-1134305.6823461247,1177188.048328754,40812.043403349846,1134305.6823461247
package_insurance_Yes,1174256.342455385,1002793.5105044708,589693.9782541881,1174256.342455385,1002793.5105044708,589693.9782541881
"info_source_Travel, agent, tour operator",1152472.8991578957,1069862.8710383591,1093914.9068001136,1152472.8991578957,1069862.8710383591,1093914.9068001136
country_MALT,1139228.6808803787,20648.486353648266,891797.6589439055,1139228.6808803787,20648.486353648266,891797.6589439055
country_CONGO,1126289.0844730295,29839.416981448685,990405.6804408104,1126289.0844730295,29839.416981448685,990405.6804408104
country_UNITED KINGDOM,-1113178.4823027062,-1336899.8824056848,-1193743.3913052203,1113178.4823027062,1336899.8824056848,1193743.3913052203
country_ETHIOPIA,1107011.2175906608,7721.570574112065,931140.5076459345,1107011.2175906608,7721.570574112065,931140.5076459345
info_source_inflight magazines,-1087885.6522840913,-50178.291947766484,-1084584.5897458266,1087885.6522840913,50178.291947766484,1084584.5897458266
country_SWAZILAND,1075537.6262850896,26255.190256153743,873167.3910833346,1075537.6262850896,26255.190256153743,873167.3910833346
country_INDIA,1051842.959238114,88181.85800986673,956303.2097557489,1051842.959238114,88181.85800986673,956303.2097557489
age_group_25-44,-1040122.829009728,-931983.3057912323,-202893.4429587985,1040122.829009728,931983.3057912323,202893.4429587985
package_guided_tour_No,1022788.116245651,858710.9703788526,127644.12946087086,1022788.116245651,858710.9703788526,127644.12946087086
country_JAPAN,-1010136.9509268049,-591447.9820322174,-1086510.4454749892,1010136.9509268049,591447.9820322174,1086510.4454749892
country_SERBIA,1009492.387268042,10352.383184299102,845502.4785546005,1009492.387268042,10352.383184299102,845502.4785546005
country_PORTUGAL,-1005565.3352507842,-79020.07237094687,-1037599.8403620549,1005565.3352507842,79020.07237094687,1037599.8403620549
country_SWIZERLAND,971891.8644176484,257844.3345809133,886962.0192313249,971891.8644176484,257844.3345809133,886962.0192313249
first_trip_tz_Yes,959555.7533085077,886777.7376740141,86656.6057580202,959555.7533085077,886777.7376740141,86656.6057580202
night_zanzibar,943795.5474568589,815412.6973871202,941662.8122911004,943795.5474568589,815412.6973871202,941662.8122911004
payment_mode_Credit Card,938130.1671546716,1375556.3629615153,1323824.4827382914,938130.1671546716,1375556.3629615153,1323824.4827382914
country_TURKEY,-915514.7723824577,-79923.33099152974,-901151.2888981998,915514.7723824577,79923.33099152974,901151.2888981998
info_source_Tanzania Mission Abroad,-895470.496868216,-385104.2563122314,-945418.6099660042,895470.496868216,385104.2563122314,945418.6099660042
most_impressing_Friendly People,866873.7726370418,742088.6824821963,234467.5310747107,866873.7726370418,742088.6824821963,234467.5310747107
country_NIGERIA,854180.324942674,-9874.308666494375,640858.7502422307,854180.324942674,9874.308666494375,640858.7502422307
night_mainland,822924.9382553906,858742.9510392515,823160.6858280471,822924.9382553906,858742.9510392515,823160.6858280471
most_impressing_No comments,771986.9970436292,462668.05330297106,138362.73495279797,771986.9970436292,462668.05330297106,138362.73495279797
purpose_Volunteering,706460.7886740288,128572.38178736076,315355.5852171112,706460.7886740288,128572.38178736076,315355.5852171112
purpose_Meetings and Conference,-699191.2340247177,-392963.6511329257,-1063009.5430103368,699191.2340247177,392963.6511329257,1063009.5430103368
first_trip_tz_No,692263.4356252889,620646.2708566497,-179455.5379777232,692263.4356252889,620646.2708566497,179455.5379777232
age_group_45-64,659771.4385779167,781584.6583652053,1491797.4273585763,659771.4385779167,781584.6583652053,1491797.4273585763
"most_impressing_Wonderful Country, Landscape, Nature",641775.6011212403,206219.70940578045,3565.107524083848,641775.6011212403,206219.70940578045,3565.107524083848
country_LUXEMBOURG,-630059.5063159788,-28711.783029558028,-463502.303207478,630059.5063159788,28711.783029558028,463502.303207478
most_impressing_Good service,629949.3119486102,481176.20373936277,0.0,629949.3119486102,481176.20373936277,0.0
package_guided_tour_Yes,629031.0726880345,648713.0381520258,-268382.0760729771,629031.0726880345,648713.0381520258,268382.0760729771
country_MOZAMBIQUE,627625.0879066046,851.6637645786221,479096.451330354,627625.0879066046,851.6637645786221,479096.451330354
payment_mode_Cash,-589793.9574135644,-95178.17884039135,-199898.0719129571,589793.9574135644,95178.17884039135,199898.0719129571
country_MONTENEGRO,-581187.2051859868,-11698.986393704048,-179588.4887734158,581187.2051859868,11698.986393704048,179588.4887734158
total_male,572334.1619315892,653266.5488126813,573690.2199839551,572334.1619315892,653266.5488126813,573690.2199839551
main_activity_Hunting tourism,-546592.0808359863,124718.36358992342,-67616.11179578117,546592.0808359863,124718.36358992342,67616.11179578117
purpose_Other,540103.0424669551,322922.0453659723,170689.6760347915,540103.0424669551,322922.0453659723,170689.6760347915
country_ESTONIA,539439.2142372548,-3964.28305176524,0.0,539439.2142372548,3964.28305176524,0.0
most_impressing_ Wildlife,518576.2676694235,327682.9049639437,-114095.99791912,518576.2676694235,327682.9049639437,114095.99791912
travel_with_Children,-490145.57756246673,-226811.85505042382,-385665.45387329283,490145.57756246673,226811.85505042382,385665.45387329283
package_insurance_No,477562.84647823544,504630.4980262144,-105534.83798128902,477562.84647823544,504630.4980262144,105534.83798128902
main_activity_Mountain climbing,-475674.4547714327,42687.299972371315,-0.0,475674.4547714327,42687.299972371315,0.0
main_activity_Wildlife tourism,464311.50154491793,1139469.5873614992,942956.2098683469,464311.50154491793,1139469.5873614992,942956.2098683469
package_food_No,451679.1058998747,352629.22527026903,-323407.49035325093,451679.1058998747,352629.22527026903,323407.49035325093
country_NETHERLANDS,-415844.45255562104,-353126.73115867045,-489955.9855602755,415844.45255562104,353126.73115867045,489955.9855602755
country_OMAN,-411903.7565815281,-269637.5336376766,-481452.2527414767,411903.7565815281,269637.5336376766,481452.2527414767
main_activity_Conference tourism,403692.31378850434,736938.556524666,880105.4016955239,403692.31378850434,736938.556524666,880105.4016955239
country_UKRAIN,-398417.28597034933,-14600.156186892771,-233756.35465033614,398417.28597034933,14600.156186892771,233756.35465033614
purpose_Business,-382228.7516821567,-51670.97493018348,-751894.5004364022,382228.7516821567,51670.97493018348,751894.5004364022
purpose_Visiting Friends and Relatives,375973.1590639008,294607.57806020457,0.0,375973.1590639008,294607.57806020457,0.0
